name_id,name,yrdb_id,ch_pinyin,attestation
nm_0110,僧念堡,yrdb92,sengnian bao,us_80782
nm_0111,僧樓鎮,yrdb93,senglou zhen,us_80899
nm_0112,允街,yrdb94,yunjie,us_40046
nm_0113,元城,yrdb95,yuan cheng,ds_1287
nm_0114,元城子,yrdb96,yuanchengzi,us_80567
nm_0115,元里,yrdb97,yuanli,us_10084
nm_0116,先俞,yrdb98,xianyu,us_10148
nm_0117,光化,yrdb99,guanghua,ds_1376
nm_0118,光狼城,yrdb100,guanglang cheng,us_10028
nm_0119,光祿城,yrdb101,guanglu cheng,us_20109
nm_0120,光祿村,yrdb102,guanglu cun,ds_183
nm_0121,兔兒阪鎮,yrdb103,tuerban zhen,us_80711
nm_0122,兔源河,yrdb104,tuyuan he,ds_1740
nm_0123,兗,yrdb105,yan,ds_1255
nm_0124,兗,yrdb105,yan, ds_1538
nm_0125,黨原,yrdb107,dangyuan,us_80556
nm_0126,黨家腰崄,yrdb108,dangjiayaoxian,us_80572
nm_0127,黨山鋪,yrdb109,dangshan pu,us_81097
nm_0128,八十家子,yrdb110,bashijiazi,us_81063
nm_0129,八堡,yrdb111,ba bao,ds_10
nm_0130,八政堡,yrdb112,bazheng bao,us_80936
nm_0131,八柳樹,yrdb113,baliushu,ds_15
nm_0132,八柳樹,yrdb113,baliushu, ds_16
nm_0133,八柳樹,yrdb113,baliushu, ds_17
nm_0134,八柳樹堡,yrdb115,baliushu bao,us_70048
nm_0135,八白室,yrdb116,babaishi,us_81040
nm_0136,八營,yrdb117,ba ying,us_80481
nm_0137,八角,yrdb118,bajiao,us_80665
nm_0138,八角樓,yrdb119,bajiaolou,ds_12
nm_0139,八角河口,yrdb120,bajiaohe kou,ds_11
nm_0140,八里廟,yrdb121,bali miao,ds_13
nm_0141,八里灣,yrdb122,bali wan,ds_14
nm_0142,六堡,yrdb123,liu bao,ds_364
nm_0143,六堡,yrdb123,liu bao, ds_365
nm_0144,六墩,yrdb124,liudun,us_80394
nm_0145,六壁,yrdb125,liubi,us_40134
nm_0146,六壁,yrdb125,liubi, us_40260
nm_0147,六套,yrdb127,liutao,ds_1
nm_0148,六安縣,yrdb128,luan xian,ds_1076
nm_0149,六嶺關,yrdb129,liuling guan,us_80878
nm_0150,六明鎮,yrdb130,liuming zhen,ds_366
nm_0151,六輔渠,yrdb131,liufu qu,ds_1711
nm_0152,蘭儀縣,yrdb133,lanyi xian,ds_1046
nm_0153,蘭儀縣,yrdb133,lanyi xian, ds_60
nm_0154,蘭州,yrdb134,lan zhou,ds_1438
nm_0155,蘭莊,yrdb135,lan zhuang,ds_313
nm_0156,蘭池,yrdb136,lanchi,us_20138
nm_0157,蘭池,yrdb136,lanchi, us_20081
nm_0158,蘭泉站,yrdb138,lanquan zhan,us_70428
nm_0159,蘭陽縣,yrdb139,lanyang xian,ds_28
nm_0160,蘭陽縣,yrdb139,lanyang xian, ds_51
nm_0161,蘭陽縣,yrdb139,lanyang xian, ds_320
nm_0162,蘭陽縣,yrdb139,lanyang xian, ds_608
nm_0163,蘭陽縣,yrdb139,lanyang xian, ds_739
nm_0164,蘭陽縣,yrdb139,lanyang xian, ds_832
nm_0165,蘭陽縣,yrdb139,lanyang xian, ds_1044
