yrdb_id,tr_title,ch_pinyin
yrdb205,函谷關,hangu guan
yrdb207,鑿臺,zaotai
yrdb208,刁家庵,diaojiaan
yrdb209,刁馬河,diaoma he
yrdb210,劉亭,liu ting
yrdb211,劉伶,liuling
yrdb212,劉獸醫口,liushouyi kou
yrdb213,劉口,liu kou
yrdb214,劉家口,liujia kou
yrdb215,劉家莊,liujia zhuang
yrdb216,劉家店,liujiadian
yrdb217,劉旺莊,liuwang zhuang
yrdb218,劉村寨,liucun zhai
yrdb219,劉柳村,liuliu cun
yrdb220,劉聚,liuju
yrdb221,判官村,panguan cun
yrdb222,利仁閘,lirenzha
yrdb223,利國冶,liguoye
yrdb224,利州,li zhou
yrdb225,利州路,lizhou lu
yrdb226,利橋堡,liqiao bao
yrdb227,利民堡,limin bao
yrdb228,利津,li jin
yrdb230,製虜塞,zhilusai
yrdb231,剋狐寨,kehu zhai
yrdb232,前亭,qian ting
yrdb233,劇陽,juyang
yrdb234,副陽,fuyang
yrdb235,加鬥寨,jiadou zhai
yrdb236,務鄉,wu xiang
yrdb237,助馬,zhuma
yrdb239,勞山鎮,laoshan zhen
yrdb240,勃海,bohai
yrdb241,包頭村,baotou cun
yrdb242,匈歸障,xiongguizhang
yrdb243,化樂鎮,huale zhen
yrdb244,化平川廳,huapingchuan ting
yrdb245,北中城,beizhong cheng
yrdb246,北京,beijing
yrdb248,北蔔渡,beibo du
yrdb249,北原,beiyuan
yrdb251,北屈,beiqu
yrdb252,北岸二套口,beianertao kou
yrdb254,北岸花山,beianhua shan
yrdb255,北川營,beichuan ying
yrdb256,北樓口,beilou kou
yrdb257,北流堡,beiliu bao
yrdb258,北海,beihai
yrdb259,北海郡,beihai jun
yrdb260,北清河,beiqing he
yrdb261,北相堡,beixiang bao
yrdb262,北董堡,beidong bao
yrdb263,北谷鎮,beigu zhen
yrdb264,北賈鎮,beijia zhen
yrdb265,北邵,beishao
yrdb266,匙頭灣,chitou wan
yrdb267,匡口鎮,kuangkou zhen
yrdb268,十一堡,shiyi bao
yrdb269,十七堡,shiqi bao
yrdb270,十七鋪口,shiqipu kou
yrdb271,十三堡,shisan bao
yrdb272,十三里橋,shisanli qiao
yrdb273,十九堡,shijiu bao
yrdb274,十八堡,shiba bao
yrdb275,十八里屯,shibali tun
yrdb276,十八里鋪,shibali pu
yrdb277,十四堡,shisi bao
yrdb278,十堡,shi bao
yrdb279,十字川,shizi chuan
yrdb280,十字鎮,shizi zhen
yrdb281,十里,shili
yrdb282,十里堡,shili pu
yrdb283,十里鋪,shili pu
yrdb284,十里長灘,shilichang tan
yrdb285,千乘,qiansheng
yrdb286,千畝,qianmu
yrdb288,千戶莊堡,qianhuzhuang bao
yrdb289,千秋亭,qianqiu ting
yrdb290,千金堨,qianjine
yrdb291,升州,sheng zhou
yrdb292,升店,shengdian
yrdb293,午溝,wu gou
yrdb295,華亭,hua ting
yrdb296,華亭下關,huatingxia guan
yrdb297,華家嶺,huajia ling
yrdb298,華山,hua shan
yrdb299,華州,hua zhou
yrdb300,華池,huachi
yrdb302,華谷城,huagu cheng
yrdb303,華陰,huayin
yrdb305,卓家莊,zhuojia zhuang
yrdb306,單縣,shan xian
yrdb308,單家口,danjia kou
yrdb309,單家莊,danjia zhuang
yrdb310,單家樓,danjialou
yrdb311,單州,dan zhou
yrdb312,單父,danfu
yrdb313,單路口,danlu kou
yrdb314,南樂,nanle
yrdb315,南京路,nanjing lu
yrdb316,南仁寨,nanren zhai
yrdb317,南關,nan guan
yrdb318,南劍州,nanjian zhou
yrdb319,南華縣,nanhua xian
yrdb320,南大通堡,nandatong bao
yrdb322,南宮,nan gong
yrdb323,南岸,nanan
yrdb325,南川營,nanchuan ying
yrdb326,南平城,nanping cheng
yrdb327,南康路,nankang lu
yrdb328,南村,nan cun
yrdb330,南柴堡,nanchai bao
yrdb331,南樊寨,nanfan zhai
yrdb332,南沙堤,nansha di
yrdb333,南河廳,nanhe ting
yrdb334,南泉寨,nanquan zhai
yrdb335,南泥灣,nanni wan
yrdb336,南清河,nanqing he
yrdb337,南王村,nanwang cun
yrdb338,南皮,nanpi
yrdb339,南直隸,nanzhili
yrdb340,南豫州,nanyu zhou
yrdb341,南陽,nanyang
yrdb342,南陽岡,nanyanggang
yrdb343,南陽村,nanyang cun
yrdb345,南青州,nanqing zhou
yrdb346,南頓,nandun
yrdb347,南馬鎮,nanma zhen
yrdb348,博興,boxing
yrdb349,博州,bo zhou
yrdb350,博平,boping
yrdb351,博望苑,bowang yuan
yrdb352,博愛,boai
yrdb353,博羅鄂博廟,boluoebo miao
yrdb354,博陵坡,bolingpo
yrdb355,盧氏,lushi
yrdb356,盧溝堤,lugou di
yrdb357,盧靈關,luling guan
yrdb358,臥龍山,wolong shan
yrdb359,衛南,weinan
yrdb360,衛縣,wei xian
yrdb361,衛州,wei zhou
yrdb362,衛河,wei he
yrdb363,衛輝,weihui
yrdb364,衛輝府,weihui fu
yrdb365,衛輝路,weihui lu
yrdb366,卷縣,juan xian
yrdb367,歷亭縣,liting xian
yrdb368,歷城,li cheng
yrdb369,歷城縣,licheng xian
yrdb370,厭次,yanci
yrdb371,厚子鎮,houzi zhen
yrdb372,厚畛子,houzhenzi
yrdb373,原,yuan
yrdb374,原鄉,yuan xiang
yrdb375,原亭,yuan ting
yrdb376,原平站,yuanping zhan
yrdb378,原村,yuan cun
yrdb379,原武,yuanwu
yrdb380,原武縣,yuanwu xian
yrdb381,原陽,yuanyang
yrdb382,縣頭鎮,xiantou zhen
yrdb383,參合陘,canhexing
yrdb384,雙城堡,shuangcheng bao
yrdb385,雙堌集,shuanggu ji
yrdb386,雙山堡,shuangshan bao
yrdb387,雙峰堡,shuangfeng bao
yrdb388,雙廟灣,shuangmiao wan
yrdb389,雙池鎮,shuangchi zhen
yrdb390,雙溝,shuang gou
yrdb392,雙溝墩,shuanggoudun
yrdb393,雙河口,shuanghe kou
yrdb394,雙湖峪,shuanghuyu
yrdb395,叚家莊,jiajia zhuang
yrdb396,口前村,kouqian cun
yrdb397,古北口,gubei kou
yrdb398,古城,gu cheng
yrdb400,古巨野,gujuye
yrdb401,古水井堡,gushuijing bao
yrdb402,古邳鎮,gupi zhen
yrdb403,古鄯驛,gushan yi
yrdb404,古驛鎮,guyi zhen
yrdb405,臺州,tai zhou
yrdb406,臺懷鎮,taihuai zhen
yrdb407,臺罕木,taihanmu
yrdb408,臺音布喇,taiyinbula
yrdb409,史家莊,shijia zhuang
yrdb410,史村驛,shicun yi
yrdb411,葉升堡,yesheng bao
yrdb412,葉家營,yejia ying
yrdb413,號非苑,haofei yuan
yrdb414,司州,si zhou
yrdb415,司李莊,sili zhuang
yrdb416,司鹽城,siyan cheng
yrdb417,司馬村堡,simacun bao
yrdb418,合道街,hedaojie
yrdb419,合陽,heyang
yrdb420,吉縣,ji xian
yrdb421,吉城鎮,jicheng zhen
yrdb422,吉子村,jizi cun
yrdb423,吉家口,jijia kou
yrdb424,吉州,ji zhou
yrdb425,同官,tongguan
yrdb426,同州,tong zhou
yrdb427,半個城,bange cheng
yrdb428,同戈站,tongge zhan
yrdb429,同谷縣,tonggu xian
yrdb430,後子河,houzi he
yrdb431,後鄭家莊,houzhengjia zhuang
yrdb432,高平,gaoping
yrdb433,呂家口,lüjia kou
yrdb434,呂家窪,lüjiawa
yrdb435,呂樓村,lülou cun
yrdb436,呂梁城,lüliang cheng
yrdb437,呂梁洪,lülianghong
yrdb438,君子津,junzi jin
yrdb442,吳城,wu cheng
yrdb443,吳城鎮,wucheng zhen
yrdb444,吳士舉莊,wushiju zhuang
yrdb445,吳家堂,wujiatang
yrdb446,吳家寨,wujia zhai
yrdb447,吳家莊,wujia zhuang
yrdb448,吳家集,wujia ji
yrdb449,吳山,wu shan
yrdb450,吳忠堡,wuzhong bao
yrdb451,吳旗鎮,wuqi zhen
