location_id,yrdb_id,attestation,lat,lon,notes
loc_01,yrdb47,ds_1752,34.5720638888889,112.480363888889,
loc_02,yrdb1038,ds_1690,34.9521,113.361372222222,
loc_03,yrdb669,ds_1678,40.2449277777778,111.142486111111,
loc_04,yrdb3622,ds_1681,35.9748305555556,112.861727777778,
loc_05,yrdb2304,ds_1682,34.833275,111.339138888889,
loc_06,yrdb209,ds_1683,34.5422416666667,114.083416666667,
loc_07,yrdb3191,ds_1684,34.2994583333333,117.161688888889,
loc_08,yrdb1711,ds_1686,38.8191111111111,112.089408333333,
loc_09,yrdb1806,ds_1735,36.2567944444444,117.084116666667,
loc_10,yrdb489,ds_1736,38.5084444444444,106.264925,
loc_11,yrdb1883,ds_1739,32.9365138888889,117.212502777778,
loc_12,yrdb113,ds_15,35.15,113.833333333333,
loc_13,yrdb2162,ds_20,35.6666666666667,114.533333333333,
loc_14,yrdb1212,ds_105,33.9666666666667,117.916666666667,
loc_15,yrdb312,ds_107,34.8,116.066666666667,
loc_16,yrdb308,ds_108,34.2333333333333,117.55,
loc_17,yrdb310,ds_109,34.6833333333333,117.4,
loc_18,yrdb1217,ds_147,34.0979472222222,117.501516666667,
loc_19,yrdb3419,ds_951,37.15325,118.122486111111,
loc_20,yrdb24,ds_39,33.85,115.783333333333,
loc_21,yrdb2839,ds_225,35.55,115.683333333333,
loc_22,yrdb2805,ds_276,34.1852666666667,117.301647222222,
loc_23,yrdb2048,ds_314,34.2718722222222,117.3164,
loc_24,yrdb3633,ds_345,33.7667027777778,118.596938888889,
loc_25,yrdb436,ds_384,34.1657138888889,117.508147222222,
loc_26,yrdb2321,ds_418,34.0249583333333,118.109327777778,
loc_27,yrdb1377,ds_420,35.1007,113.391188888889,
loc_28,yrdb2515,ds_448,34.9778972222222,114.10775,
loc_29,yrdb86,ds_449,39.4407777777778,111.516652777778,
loc_30,yrdb1007,ds_450,36.0653444444444,116.005161111111,
loc_31,yrdb1025,ds_451,34.8377138888889,111.211033333333,
loc_32,yrdb2646,ds_452,34.6537222222222,114.733386111111,
loc_33,yrdb1873,ds_453,33.6115972222222,119.009952777778,
loc_34,yrdb3174,ds_454,34.8789027777778,114.423808333333,
loc_35,yrdb442,ds_455,33.533275,118.895027777778,
loc_36,yrdb2902,ds_1524,37.0700861111111,114.498913888889,
loc_37,yrdb1181,ds_1597,35.0886472222222,112.944452777778,
