plest_id,place_id,est_year
plest_0202,yrdb3901,1111
plest_0203,yrdb3902,1111
plest_0204,yrdb3903,1111
plest_0205,yrdb3904,1111
plest_0206,yrdb3905,1111
plest_0207,yrdb3906,1111
plest_0208,yrdb3907,1111
plest_0209,yrdb3908,1111
plest_0210,yrdb3909,1111
plest_0211,yrdb3910,1111
plest_0212,yrdb3911,1111
plest_0213,yrdb3912,1111
plest_0214,yrdb3913,1111
plest_0215,yrdb3914,1111
plest_0216,yrdb3915,1111
plest_0217,yrdb3916,1111
plest_0218,yrdb3917,1111
plest_0219,yrdb3918,1111
plest_0220,yrdb3919,1111
plest_0221,yrdb3920,1111
plest_0222,yrdb3921,1111
plest_0223,yrdb3922,1111
plest_0224,yrdb3923,1111
plest_0225,yrdb3924,1111
plest_0226,yrdb3925,1111
plest_0227,yrdb3926,1111
plest_0228,yrdb3927,1111
plest_0229,yrdb3928,1111
plest_0230,yrdb3929,1111
plest_0231,yrdb3930,1111
plest_0232,yrdb3931,1111
plest_0233,yrdb3932,1111
plest_0234,yrdb3933,1111
plest_0235,yrdb3934,1111
plest_0236,yrdb3935,1111
plest_0237,yrdb3936,1111
plest_0238,yrdb3937,1111
plest_0239,yrdb3938,1111
plest_0240,yrdb3939,1111
plest_0241,yrdb3940,1111
plest_0242,yrdb3941,1111
plest_0243,yrdb3942,1111
plest_0244,yrdb3943,1111
plest_0245,yrdb3944,1111
plest_0246,yrdb3945,1111
plest_0247,yrdb3946,1111
plest_0248,yrdb3947,1111
plest_0249,yrdb3948,1111
plest_0250,yrdb3949,1111
plest_0251,yrdb3950,1111
plest_0252,yrdb3951,1111
plest_0253,yrdb3952,1111
plest_0254,yrdb3953,1111
plest_0255,yrdb3954,1111
plest_0256,yrdb3955,1111
plest_0257,yrdb3956,1111
plest_0258,yrdb3957,1111
plest_0259,yrdb3958,1111
plest_0260,yrdb3959,1111
plest_0261,yrdb3960,1111
plest_0262,yrdb3961,1111
plest_0263,yrdb3962,1111
plest_0264,yrdb3963,1111
plest_0265,yrdb3964,1111
plest_0266,yrdb3965,1111
plest_0267,yrdb3966,1111
plest_0268,yrdb3967,1111
