name_id,language,name,en_transliteration,yrdb_id,attestation
nm_97,zh-cn,李景口,,yrdb1417,ds_331
nm_98,zh-cn,李道華樓,,yrdb1419,ds_322
nm_99,zh-cn,李綱堡,,yrdb1420,us_70235
nm_100,zh-cn,杏華營,,yrdb1424,ds_728
nm_101,zh-cn,柔遠寨,,yrdb1494,us_70462
nm_102,zh-cn,桃源/桃園,,yrdb966,ds_82
nm_103,zh-cn,榆溝谷,,yrdb1569,us_80613
nm_104,zh-cn,武成,,yrdb1610,us_10097
nm_105,zh-cn,永平寨,,yrdb1661,us_80102
nm_106,zh-cn,永平村,,yrdb1661,us_70477
nm_107,zh-cn,梁靖口,,yrdb1543,ds_339
nm_108,zh-cn,粱靖口,,yrdb1543,ds_339
nm_109,zh-cn,永濟渠,,yrdb1667,ds_1276
nm_110,zh-cn,汜水橋,,yrdb1677,ds_553
nm_111,zh-cn,金城門,,yrdb1677,ds_553
nm_112,zh-cn,江省,,yrdb1687,ds_1607
nm_113,zh-cn,汴水,,yrdb1703,ds_1586
nm_114,zh-cn,汾水,,yrdb1711,ds_1686
nm_115,zh-cn,沁水,,yrdb1715,ds_1725
nm_116,zh-cn,河北,,yrdb1760,ds_1582
nm_117,zh-cn,河北,,yrdb1760,ds_1583
nm_118,zh-cn,河北,,yrdb1760,ds_1767
nm_119,zh-cn,河雍,,yrdb1784,us_10012
nm_120,zh-cn,泗水,,yrdb1799,ds_1732
nm_121,zh-cn,洛水,,yrdb1821,ds_1602
nm_122,zh-cn,雒水,,yrdb1821,ds_1602
nm_123,zh-cn,洛州,,yrdb1825,ds_1447
nm_124,zh-cn,濟水,,yrdb1857,ds_1704
nm_125,zh-cn,濟,,yrdb1857,ds_1403
nm_126,zh-cn,浚州(衛),,yrdb1870,ds_1432
nm_127,zh-cn,淆陵,,yrdb1897,us_70492
nm_128,zh-cn,淮城,,yrdb1901,ds_1000
nm_129,zh-cn,青豐口,,yrdb3240,ds_471
nm_130,zh-cn,湟川,,yrdb1957,ds_1701
nm_131,zh-cn,邈川水,,yrdb1957,ds_1701
nm_132,zh-cn,靈石口,,yrdb2013,us_70066
nm_133,zh-cn,焦邱,,yrdb2018,ds_287
nm_134,zh-cn,狼旋口,,yrdb2048,ds_315
nm_135,zh-cn,狼矢溝,,yrdb2048,ds_314
nm_136,zh-cn,王家山(閘),,yrdb2072,ds_636
nm_137,zh-cn,王（家）營,,yrdb2097,ds_620
nm_138,zh-cn,甘城,,yrdb2118,us_20212
nm_139,zh-cn,白城子,,yrdb2147,us_70295
nm_140,zh-cn,白茅口,,yrdb2177,ds_25
nm_141,zh-cn,白馬,,yrdb2186,ds_24
nm_142,zh-cn,盤石（口）,,yrdb2222,ds_441
nm_143,zh-cn,盤溝村,,yrdb2225,ds_439
nm_144,zh-cn,直路,,yrdb2236,us_20264
