yrdb_id,ft_id
yrdb375,neighborhood
yrdb376,military post
yrdb378,village
yrdb379,not specified
yrdb380,county
yrdb381,not specified
yrdb382,town
yrdb383,not specified
yrdb384,fortress
yrdb385,community
yrdb386,fortress
yrdb387,fortress
yrdb388,bay
yrdb389,town
yrdb390,county
yrdb392,not specified
yrdb393,estuary
yrdb394,not specified
yrdb395,manor
yrdb396,village
yrdb397,estuary
yrdb398,walled settlement
yrdb400,not specified
yrdb401,fortress
yrdb402,town
yrdb403,stage station
yrdb404,town
yrdb405,department
yrdb406,town
yrdb407,not specified
yrdb408,not specified
yrdb409,manor
yrdb410,stage station
yrdb411,fortress
yrdb412,encampment
yrdb413,park
yrdb414,department
yrdb415,manor
yrdb416,walled settlement
yrdb417,fortress
yrdb418,not specified
yrdb419,not specified
yrdb420,county
yrdb421,town
yrdb422,village
yrdb423,estuary
yrdb424,department
yrdb425,not specified
yrdb426,department
yrdb427,walled settlement
yrdb428,military post
yrdb429,county
yrdb430,river
yrdb431,manor
yrdb432,not specified
yrdb433,estuary
yrdb434,not specified
yrdb435,village
yrdb436,walled settlement
yrdb437,not specified
yrdb438,ford
yrdb442,walled settlement
yrdb443,county
yrdb444,manor
yrdb445,not specified
yrdb446,stockade
yrdb447,manor
yrdb448,community
yrdb449,mountain
yrdb450,fortress
yrdb451,town
yrdb452,town
yrdb453,bridge
yrdb454,stockade
yrdb455,estuary
yrdb456,not specified
yrdb457,not specified
yrdb458,not specified
yrdb459,river valley
yrdb460,not specified
yrdb461,not specified
yrdb462,bridge
yrdb463,not specified
yrdb464,not specified
yrdb465,county
yrdb466,city
yrdb469,not specified
yrdb470,not specified
yrdb471,not specified
yrdb472,creek
yrdb473,department
yrdb474,stage station
yrdb475,customs house
yrdb477,not specified
yrdb478,stockade
yrdb479,not specified
yrdb480,not specified
yrdb481,fortress
yrdb482,town
yrdb483,not specified
yrdb484,not specified
yrdb485,walled settlement
yrdb486,fortress
yrdb487,bay
yrdb488,department
yrdb489,canal
yrdb490,creek
yrdb491,not specified
yrdb493,county
yrdb495,county
yrdb496,river
yrdb497,not specified
yrdb498,embarkment
yrdb499,bureau
yrdb501,not specified
yrdb502,creek
yrdb503,encampment
yrdb504,county
yrdb505,not specified
yrdb506,post station
yrdb507,village
yrdb508,embarkment
yrdb509,fortress
yrdb510,creek
yrdb511,not specified
yrdb512,not specified
yrdb513,department
yrdb514,town
yrdb515,estuary
yrdb516,ditch
yrdb517,not specified
yrdb518,not specified
yrdb519,county
yrdb520,walled settlement
yrdb521,town
yrdb522,temple
yrdb523,town
yrdb524,fortress
yrdb525,town
yrdb526,stage station
yrdb527,customs house
yrdb528,town
yrdb529,town
yrdb530,lake
yrdb531,township
yrdb532,mound
yrdb534,not specified
yrdb535,walled settlement
yrdb536,not specified
yrdb537,stockade
yrdb538,town
yrdb539,not specified
yrdb540,stockade
yrdb541,not specified
yrdb542,bridge
yrdb543,town
yrdb544,manor
yrdb545,not specified
yrdb546,department
yrdb547,department
yrdb548,town
yrdb549,temple
yrdb550,not specified
yrdb551,community
yrdb552,estuary
yrdb553,township
yrdb554,creek
yrdb556,county
yrdb559,county
yrdb560,not specified
yrdb561,not specified
yrdb562,community
yrdb563,not specified
yrdb564,estuary
yrdb565,bay
yrdb566,temple
yrdb567,mountain
yrdb568,manor
yrdb569,not specified
yrdb570,military post
yrdb571,mountain
yrdb573,town
yrdb574,village
yrdb575,not specified
yrdb576,neighborhood
yrdb577,customs house
yrdb579,estuary
yrdb582,department
yrdb583,encampment
yrdb584,estuary
yrdb585,fortress
yrdb586,route
yrdb587,department
yrdb588,town
yrdb589,ford
yrdb590,manor
yrdb591,county
yrdb592,town
yrdb593,town
yrdb594,walled settlement
yrdb595,town
yrdb596,department
yrdb597,not specified
yrdb598,neighborhood
yrdb599,not specified
yrdb600,town
yrdb601,not specified
yrdb602,not specified
yrdb603,walled settlement
yrdb604,estuary
yrdb606,prefecture
yrdb608,not specified
yrdb609,embarkment
yrdb610,fortress
yrdb611,walled settlement
yrdb613,county
yrdb614,not specified
yrdb615,commandery
yrdb616,stockade
yrdb617,not specified
yrdb618,manor
yrdb619,not specified
yrdb620,estuary
yrdb621,ridge
yrdb622,town
yrdb623,customs house
yrdb624,town
yrdb625,customs house
yrdb626,not specified
yrdb627,fortress
yrdb628,not specified
yrdb629,not specified
yrdb630,river valley
yrdb631,town
yrdb632,fortress
yrdb633,fortress
yrdb634,ditch
yrdb635,estuary
yrdb636,river
yrdb637,bay
yrdb638,ridge
yrdb639,ditch
yrdb640,not specified
yrdb641,not specified
yrdb642,temple
yrdb643,town
yrdb645,community
yrdb646,walled settlement
yrdb647,town
yrdb648,not specified
yrdb649,not specified
yrdb650,ridge
yrdb651,walled settlement
yrdb652,customs house
yrdb653,estuary
yrdb654,mountain
yrdb656,town
yrdb657,manor
yrdb658,not specified
yrdb659,estuary
yrdb660,encampment
yrdb661,not specified
yrdb664,walled settlement
yrdb665,stockade
yrdb666,manor
yrdb667,town
yrdb668,temple
yrdb669,river
yrdb670,estuary
yrdb671,customs house
yrdb672,embarkment
yrdb673,temple
yrdb674,dam
yrdb675,bridge
yrdb676,stockade
yrdb677,not specified
yrdb678,bridge
yrdb679,river
yrdb680,not specified
yrdb681,customs house
yrdb682,stockade
yrdb683,mound
yrdb684,not specified
yrdb685,county
yrdb686,ridge
yrdb688,stage station
yrdb689,commandery
yrdb690,estuary
yrdb691,customs house
yrdb692,department
yrdb693,not specified
yrdb694,town
yrdb695,county
yrdb697,town
yrdb698,town
yrdb699,customs house
yrdb700,dike
yrdb702,village
yrdb703,temple
yrdb704,fortress
yrdb705,not specified
yrdb706,encampment
yrdb707,town
yrdb708,not specified
yrdb709,county
yrdb710,county
yrdb711,mountain
yrdb712,not specified
yrdb713,walled settlement
yrdb714,village
yrdb716,county
yrdb717,walled settlement
yrdb718,not specified
yrdb719,encampment
yrdb720,estuary
yrdb721,bay
yrdb722,village
yrdb723,fortress
yrdb724,walled settlement
yrdb725,manor
yrdb726,military post
yrdb727,county
yrdb728,fortress
yrdb729,town
yrdb731,fortress
yrdb732,fortress
yrdb733,fortress
yrdb734,fortress
yrdb735,manor
yrdb736,dam
yrdb737,temple
yrdb738,customs house
yrdb739,department
yrdb740,town
yrdb741,mountain
yrdb742,town
yrdb743,manor
yrdb744,town
yrdb745,estuary
yrdb746,ferry crossing
yrdb747,not specified
yrdb748,community
yrdb749,embarkment
yrdb750,estuary
yrdb751,estuary
yrdb752,estuary
yrdb753,town
yrdb754,not specified
yrdb755,not specified
yrdb756,town
yrdb757,manor
yrdb758,not specified
yrdb759,county
yrdb760,temple
yrdb761,estuary
yrdb762,not specified
yrdb763,bay
yrdb764,department
yrdb765,not specified
yrdb766,county
yrdb768,estuary
yrdb769,ferry crossing
yrdb771,town
yrdb772,not specified
yrdb773,town
yrdb774,fortress
yrdb775,not specified
yrdb778,stockade
yrdb779,not specified
yrdb780,town
yrdb781,county
yrdb782,state
yrdb783,encampment
yrdb784,not specified
yrdb786,fortress
yrdb787,department
yrdb788,county
yrdb789,not specified
yrdb790,fortress
yrdb791,village
yrdb792,walled settlement
yrdb793,county
yrdb794,fortress
yrdb795,fortress
yrdb796,not specified
yrdb797,county
yrdb800,not specified
yrdb801,not specified
yrdb802,stockade
yrdb803,town
yrdb804,walled settlement
yrdb805,fortress
yrdb806,fortress
yrdb807,manor
yrdb808,temple
yrdb809,town
yrdb810,town
yrdb811,town
yrdb812,province
yrdb813,customs house
yrdb814,county
yrdb815,town
yrdb816,not specified
yrdb817,walled settlement
yrdb818,fortress
yrdb819,fortress
yrdb820,fief
yrdb821,walled settlement
yrdb822,not specified
yrdb823,estuary
yrdb824,state
yrdb826,county
yrdb827,fortress
yrdb828,manor
yrdb829,bay
yrdb830,department
yrdb831,not specified
yrdb832,walled settlement
yrdb833,town
yrdb834,town
yrdb835,fortress
yrdb836,town
yrdb837,fortress
yrdb838,not specified
yrdb839,temple
yrdb840,not specified
yrdb841,not specified
yrdb842,encampment
yrdb844,stage station
yrdb845,town
yrdb846,not specified
yrdb847,not specified
yrdb848,not specified
yrdb849,park
yrdb851,county
yrdb852,county
yrdb853,not specified
yrdb854,fortress
yrdb855,not specified
yrdb856,department
yrdb857,not specified
yrdb858,not specified
yrdb859,not specified
yrdb860,town
yrdb861,military post
yrdb862,bureau
yrdb863,estuary
yrdb864,department
yrdb865,estuary
yrdb866,county
yrdb867,not specified
yrdb868,department
yrdb869,neighborhood
yrdb870,fortress
yrdb871,not specified
yrdb873,stage station
yrdb874,town
yrdb875,not specified
yrdb876,not specified
yrdb877,military post
yrdb878,not specified
yrdb879,fortress
yrdb880,town
yrdb881,town
yrdb882,bridge
yrdb883,department
yrdb884,county
yrdb885,walled settlement
yrdb886,mound
yrdb889,not specified
yrdb892,not specified
yrdb893,river valley
yrdb894,not specified
yrdb895,fortress
yrdb896,fortress
yrdb897,embarkment
yrdb898,county
yrdb899,fortress
yrdb900,manor
yrdb901,estuary
yrdb902,embarkment
yrdb903,not specified
yrdb904,community
yrdb905,not specified
yrdb906,customs house
yrdb907,not specified
yrdb908,fortress
yrdb909,not specified
yrdb910,river valley
yrdb911,not specified
yrdb912,estuary
yrdb913,estuary
yrdb914,bridge
yrdb915,estuary
yrdb916,not specified
yrdb917,estuary
yrdb919,dike
yrdb920,village
yrdb921,not specified
yrdb922,estuary
yrdb923,town
yrdb924,township
yrdb925,town
yrdb926,town
yrdb927,river
yrdb928,not specified
yrdb929,province
yrdb930,route
yrdb931,county
yrdb932,bureau
yrdb933,town
yrdb934,town
yrdb935,bureau
yrdb936,province
yrdb937,town
yrdb938,county
yrdb939,county
yrdb940,mound
yrdb941,estuary
yrdb942,village
yrdb943,flat
yrdb944,department
yrdb945,ridge
yrdb946,town
yrdb947,department
yrdb948,manor
yrdb949,department
yrdb950,not specified
yrdb951,not specified
yrdb952,walled settlement
yrdb953,department
yrdb954,customs house
yrdb955,town
yrdb956,mountain
yrdb957,estuary
yrdb958,town
yrdb959,embarkment
yrdb960,temple
yrdb961,fortress
yrdb962,town
yrdb963,estuary
yrdb964,not specified
yrdb965,dam
yrdb966,town
yrdb967,not specified
yrdb968,county
yrdb969,stream
yrdb971,customs house
yrdb972,temple
yrdb973,walled settlement
yrdb974,not specified
yrdb975,not specified
yrdb976,county
yrdb977,town
yrdb978,not specified
yrdb979,stage station
yrdb980,encampment
yrdb981,mudflat
yrdb982,mountain
yrdb983,not specified
yrdb984,bridge
yrdb985,stockade
yrdb986,military post
yrdb987,fortress
yrdb988,town
yrdb989,stage station
yrdb990,fortress
yrdb991,dam
yrdb992,department
yrdb993,fortress
yrdb994,town
yrdb995,fortress
yrdb996,not specified
yrdb997,not specified
yrdb998,customs house
yrdb999,creek
yrdb1000,not specified
yrdb1001,county
yrdb1002,county
yrdb1003,not specified
yrdb1004,fortress
yrdb1005,town
yrdb1006,town
yrdb1007,town
yrdb1008,not specified
yrdb1009,not specified
yrdb1010,customs house
yrdb1011,fortress
yrdb1013,military post
yrdb1014,stage station
yrdb1015,not specified
