evtp_id,place_id,event,attestation
evtp_137,yrdb3503,ev_1635,ds_259
evtp_138,yrdb3503,ev_1754,ds_259
evtp_139,yrdb3503,ev_1756,ds_259
evtp_140,yrdb3503,ev_1759,ds_259
evtp_141,yrdb3503,ev_1765,ds_259
evtp_142,yrdb3503,ev_1791,ds_259
evtp_143,yrdb3503,ev_1792,ds_259
evtp_144,yrdb3503,ev_1795,ds_259
evtp_145,yrdb3503,ev_1818,ds_259
evtp_146,yrdb3503,ev_1826,ds_259
evtp_147,yrdb3503,ev_1307,ds_259
evtp_148,yrdb3503,ev_1523,ds_259
evtp_149,yrdb3503,ev_1794,ds_259
evtp_150,yrdb3503,ev_1803,ds_259
evtp_151,yrdb41,ev_2316,ds_529
evtp_152,yrdb2268,ev_2316,ds_529
evtp_153,yrdb41,ev_2571,ds_544
evtp_154,yrdb1647,ev_2571,ds_544
evtp_155,yrdb41,ev_2766,ds_756
evtp_156,yrdb1451,ev_2766,ds_756
evtp_157,yrdb41,ev_1846,ds_786
evtp_158,yrdb41,ev_1419,ds_1267
evtp_159,yrdb41,ev_1581,ds_1267
evtp_160,yrdb41,ev_1635,ds_1267
evtp_161,yrdb41,ev_1749,ds_1267
evtp_162,yrdb41,ev_1751,ds_1267
evtp_163,yrdb41,ev_1756,ds_1267
evtp_164,yrdb41,ev_1761,ds_1267
evtp_165,yrdb41,ev_1795,ds_1267
evtp_166,yrdb41,ev_2022,ds_1267
evtp_167,yrdb41,ev_2141,ds_1267
evtp_168,yrdb41,ev_2261,ds_1267
evtp_169,yrdb41,ev_2271,ds_1267
evtp_170,yrdb41,ev_2275,ds_1267
evtp_171,yrdb41,ev_2281,ds_1267
evtp_172,yrdb41,ev_2283,ds_1267
evtp_173,yrdb41,ev_2303,ds_1267
evtp_174,yrdb41,ev_2312,ds_1267
evtp_175,yrdb41,ev_2322,ds_1267
evtp_176,yrdb41,ev_2349,ds_1267
evtp_177,yrdb41,ev_2357,ds_1267
evtp_178,yrdb41,ev_2433,ds_1267
evtp_179,yrdb41,ev_2442,ds_1267
evtp_180,yrdb41,ev_2448,ds_1267
evtp_181,yrdb41,ev_2449,ds_1267
evtp_182,yrdb41,ev_2476,ds_1267
evtp_183,yrdb41,ev_2499,ds_1267
evtp_184,yrdb41,ev_2576,ds_1267
evtp_185,yrdb41,ev_2646,ds_1267
evtp_186,yrdb41,ev_2651,ds_1267
evtp_187,yrdb41,ev_2658,ds_1267
evtp_188,yrdb41,ev_2885,ds_1267
evtp_189,yrdb41,ev_2903,ds_1267
evtp_190,yrdb41,ev_2907,ds_1267
evtp_191,yrdb41,ev_2921,ds_1267
evtp_192,yrdb41,ev_2922,ds_1267
evtp_193,yrdb41,ev_2924,ds_1267
evtp_194,yrdb41,ev_2930,ds_1267
evtp_195,yrdb41,ev_2934,ds_1267
evtp_196,yrdb41,ev_2941,ds_1267
evtp_197,yrdb41,ev_2949,ds_1267
evtp_198,yrdb41,ev_2961,ds_1267
evtp_199,yrdb41,ev_3062,ds_1267
evtp_200,yrdb41,ev_3073,ds_1267
evtp_201,yrdb41,ev_3255,ds_1267
evtp_202,yrdb41,ev_3263,ds_1267
evtp_203,yrdb41,ev_3274,ds_1267
evtp_204,yrdb41,ev_3275,ds_1267
evtp_205,yrdb41,ev_3276,ds_1267
evtp_206,yrdb41,ev_3279,ds_1267
evtp_207,yrdb41,ev_3285,ds_1267
evtp_208,yrdb41,ev_3286,ds_1267
evtp_209,yrdb41,ev_3292,ds_1267
evtp_210,yrdb41,ev_3296,ds_1267
evtp_211,yrdb41,ev_1487,ds_1267
evtp_212,yrdb41,ev_1838,ds_1267
evtp_213,yrdb41,ev_2264,ds_1267
evtp_214,yrdb41,ev_2617,ds_1267
evtp_215,yrdb41,ev_2679,ds_1267
evtp_216,yrdb41,ev_2921,ds_1267
evtp_217,yrdb2252,ev_1419,ds_1267
evtp_218,yrdb2252,ev_1581,ds_1267
evtp_219,yrdb2252,ev_1635,ds_1267
evtp_220,yrdb2252,ev_1749,ds_1267
