ptatt_id,place_id,attestation_id
ptatt_175,yrdb148,us_81112
ptatt_176,yrdb149,us_70316
ptatt_177,yrdb149,us_80212
ptatt_178,yrdb150,us_80664
ptatt_179,yrdb151,ds_1578
ptatt_180,yrdb152,us_81122
ptatt_181,yrdb153,ds_1239
ptatt_182,yrdb154,ds_1237
ptatt_183,yrdb155,ds_1526
ptatt_184,yrdb156,us_30027
ptatt_185,yrdb157,ds_1525
ptatt_186,yrdb158,ds_1527
ptatt_187,yrdb159,us_80175
ptatt_188,yrdb160,us_70017
ptatt_189,yrdb160,us_80755
ptatt_190,yrdb161,us_80461
ptatt_191,yrdb162,ds_1238
ptatt_192,yrdb163,us_10137
ptatt_193,yrdb164,us_10054
ptatt_194,yrdb164,us_20155
ptatt_195,yrdb166,us_10114
ptatt_196,yrdb167,ds_1106
ptatt_197,yrdb167,ds_1198
ptatt_198,yrdb167,ds_1481
ptatt_199,yrdb167,ds_1603
ptatt_200,yrdb168,ds_672
ptatt_201,yrdb168,ds_801
ptatt_202,yrdb168,ds_926
ptatt_203,yrdb168,ds_1236
ptatt_204,yrdb168,ds_1292
ptatt_205,yrdb168,ds_1410
ptatt_206,yrdb169,us_80742
ptatt_207,yrdb171,us_80792
ptatt_208,yrdb171,us_70410
ptatt_209,yrdb172,us_80506
ptatt_210,yrdb173,ds_1482
ptatt_211,yrdb173,ds_1629
ptatt_212,yrdb173,ds_1779
ptatt_213,yrdb174,ds_1096
ptatt_214,yrdb175,ds_162
ptatt_215,yrdb176,us_70273
ptatt_216,yrdb176,us_80191
ptatt_217,yrdb178,us_80723
ptatt_218,yrdb179,ds_960
ptatt_219,yrdb180,us_30049
ptatt_220,yrdb181,ds_152
ptatt_221,yrdb182,us_80161
ptatt_222,yrdb183,us_80993
ptatt_223,yrdb184,us_70484
ptatt_224,yrdb185,ds_150
ptatt_225,yrdb186,us_70179
ptatt_226,yrdb187,ds_151
ptatt_227,yrdb188,us_80222
ptatt_228,yrdb189,us_80165
ptatt_229,yrdb190,us_80354
ptatt_230,yrdb191,us_40220
ptatt_231,yrdb192,us_80772
ptatt_232,yrdb192,us_70066
ptatt_233,yrdb193,ds_56
ptatt_234,yrdb193,ds_499
ptatt_235,yrdb193,ds_768
ptatt_236,yrdb193,ds_1569
ptatt_237,yrdb194,ds_1316
ptatt_238,yrdb195,ds_1443
ptatt_239,yrdb196,ds_349
ptatt_240,yrdb197,us_20208
ptatt_241,yrdb198,us_80738
ptatt_242,yrdb199,ds_1370
ptatt_243,yrdb200,ds_934
ptatt_244,yrdb201,ds_1369
ptatt_245,yrdb202,ds_39
ptatt_246,yrdb202,ds_935
ptatt_247,yrdb203,ds_1676
ptatt_248,yrdb205,us_20020
ptatt_249,yrdb205,us_20072
ptatt_250,yrdb205,us_20180
ptatt_251,yrdb205,us_30018
ptatt_252,yrdb205,us_30064
ptatt_253,yrdb205,us_10066
ptatt_254,yrdb205,us_40081
ptatt_255,yrdb205,us_70490
ptatt_256,yrdb207,us_20196
ptatt_257,yrdb207,us_10142
ptatt_258,yrdb208,ds_118
ptatt_259,yrdb209,ds_1683
ptatt_260,yrdb210,us_30093
ptatt_261,yrdb211,ds_356
ptatt_262,yrdb212,ds_358
ptatt_263,yrdb213,ds_354
ptatt_264,yrdb213,ds_355
ptatt_265,yrdb214,ds_350
ptatt_266,yrdb215,ds_351
ptatt_267,yrdb215,ds_352
ptatt_268,yrdb215,ds_353
ptatt_269,yrdb216,us_81149
ptatt_270,yrdb217,ds_359
ptatt_271,yrdb218,us_70079
ptatt_272,yrdb219,ds_357
ptatt_273,yrdb220,us_20075
ptatt_274,yrdb221,ds_443
ptatt_275,yrdb222,ds_334
ptatt_276,yrdb223,us_70421
ptatt_277,yrdb224,ds_1442
ptatt_278,yrdb225,ds_1620
ptatt_279,yrdb226,us_80546
ptatt_280,yrdb227,us_70108
ptatt_281,yrdb228,ds_602
ptatt_282,yrdb228,ds_151
ptatt_283,yrdb228,ds_245
ptatt_284,yrdb228,ds_283
ptatt_285,yrdb228,ds_383
ptatt_286,yrdb228,ds_402
ptatt_287,yrdb228,ds_646
ptatt_288,yrdb228,ds_827
ptatt_289,yrdb228,ds_1053
ptatt_290,yrdb230,us_20107
ptatt_291,yrdb231,us_70024
ptatt_292,yrdb231,us_80712
ptatt_293,yrdb232,us_20214
ptatt_294,yrdb232,us_40175
ptatt_295,yrdb233,us_30109
ptatt_296,yrdb234,us_20113
ptatt_297,yrdb235,us_80834
ptatt_298,yrdb236,us_20160
ptatt_299,yrdb237,us_80640
ptatt_300,yrdb237,us_70121
ptatt_301,yrdb239,us_80121
ptatt_302,yrdb240,ds_882
ptatt_303,yrdb240,ds_1674
ptatt_304,yrdb241,us_80595
ptatt_305,yrdb241,us_81041
ptatt_306,yrdb242,us_20108
ptatt_307,yrdb243,us_80761
ptatt_308,yrdb244,us_80500
ptatt_309,yrdb245,us_40089
ptatt_310,yrdb246,ds_426
ptatt_311,yrdb246,ds_1092
ptatt_312,yrdb246,ds_1325
ptatt_313,yrdb246,ds_1423
ptatt_314,yrdb246,ds_1420
ptatt_315,yrdb246,ds_1616
ptatt_316,yrdb246,ds_1764
ptatt_317,yrdb246,ds_1344
ptatt_318,yrdb246,ds_1567
ptatt_319,yrdb248,us_70431
ptatt_320,yrdb249,us_30041
ptatt_321,yrdb251,us_10092
ptatt_322,yrdb252,ds_33
ptatt_323,yrdb254,ds_34
ptatt_324,yrdb255,us_80309
ptatt_325,yrdb256,us_80853
ptatt_326,yrdb256,us_70141
ptatt_327,yrdb257,us_80952
ptatt_328,yrdb258,ds_878
ptatt_329,yrdb258,ds_1324
ptatt_330,yrdb259,ds_879
ptatt_331,yrdb260,ds_1673
ptatt_332,yrdb261,us_80933
ptatt_333,yrdb262,us_80983
ptatt_334,yrdb263,us_80144
ptatt_335,yrdb264,us_70400
ptatt_336,yrdb265,ds_36
ptatt_337,yrdb266,ds_1730
ptatt_338,yrdb267,us_80016
ptatt_339,yrdb268,ds_526
ptatt_340,yrdb269,ds_521
ptatt_341,yrdb270,ds_522
ptatt_342,yrdb271,ds_523
ptatt_343,yrdb272,us_30073
ptatt_344,yrdb273,ds_518
ptatt_345,yrdb274,ds_515
ptatt_346,yrdb275,ds_516
ptatt_347,yrdb276,us_81121
ptatt_348,yrdb277,ds_524
ptatt_349,yrdb277,ds_525
ptatt_350,yrdb278,ds_517
ptatt_351,yrdb279,us_80390
ptatt_352,yrdb280,us_81166
ptatt_353,yrdb281,us_70098
ptatt_354,yrdb282,ds_519
ptatt_355,yrdb282,ds_520
ptatt_356,yrdb283,us_80081
ptatt_357,yrdb284,us_81037
ptatt_358,yrdb285,ds_1123
ptatt_359,yrdb286,us_30100
ptatt_360,yrdb286,us_20200
ptatt_361,yrdb288,us_80320
ptatt_362,yrdb289,us_40074
ptatt_363,yrdb290,us_30066
ptatt_364,yrdb291,ds_1479
ptatt_365,yrdb292,us_80252
ptatt_366,yrdb293,ds_1204
ptatt_367,yrdb295,us_80501
ptatt_368,yrdb296,us_81150
ptatt_369,yrdb297,us_80512
ptatt_370,yrdb298,ds_249
ptatt_371,yrdb298,ds_1698
ptatt_372,yrdb299,ds_991
ptatt_373,yrdb299,ds_1393
ptatt_374,yrdb300,us_70305
ptatt_375,yrdb300,us_70463
ptatt_376,yrdb300,us_80590
ptatt_377,yrdb302,us_40292
ptatt_378,yrdb303,us_40043
ptatt_379,yrdb303,ds_991
ptatt_380,yrdb305,ds_871
ptatt_381,yrdb306,ds_231
ptatt_382,yrdb306,ds_254
ptatt_383,yrdb306,ds_351
ptatt_384,yrdb306,ds_361
ptatt_385,yrdb306,ds_467
ptatt_386,yrdb306,ds_548
ptatt_387,yrdb306,ds_562
ptatt_388,yrdb306,ds_749
ptatt_389,yrdb306,ds_904
ptatt_390,yrdb306,ds_792
ptatt_391,yrdb308,ds_108
ptatt_392,yrdb309,ds_110
ptatt_393,yrdb310,ds_109
ptatt_394,yrdb311,ds_107
