Location_id,Place_id,Attestation,Latitude,Longitude
loc_0113,yrdb95,ds_1287,115.2028,36.3157
loc_0114,yrdb96,us_80567,107.8219025,36.67694783
loc_0115,yrdb97,us_10084,109.9583369,35.10324303
loc_0116,yrdb98,us_10148,112.8008499,39.02217784
loc_0117,yrdb99,ds_1376,113.482,31.6414
loc_0118,yrdb100,us_10028,112.7296684,35.74150345
loc_0119,yrdb101,us_20109,109.9362108,40.81256666
loc_0120,yrdb102,ds_183,113.9650306,35.13514167
loc_0121,yrdb103,us_80711,110.6470287,38.02669037
loc_0122,yrdb104,ds_1740,113.4701139,35.01593889
loc_0123,yrdb105,ds_1255,116.7937389,35.594175
loc_0124,yrdb105,ds_1538,116.7937389,35.594175
loc_0125,yrdb107,us_80556,107.2697902,35.46139197
loc_0126,yrdb108,us_80572,107.5265338,36.03168079
loc_0127,yrdb109,us_81097,103.6104371,35.43085379
loc_0128,yrdb110,us_81063,112.2283874,40.28398896
loc_0129,yrdb111,ds_10,111.8833333,39.2
loc_0130,yrdb112,us_80936,111.2491265,34.87419737
loc_0131,yrdb113,ds_15,113.8333333,35.15
loc_0132,yrdb113,ds_16,113.8333333,35.15
loc_0133,yrdb113,ds_17,113.8284778,35.146675
loc_0134,yrdb115,us_70048,111.7210315,39.49406143
loc_0135,yrdb116,us_81040,109.8586214,39.22634176
loc_0136,yrdb117,us_80481,106.1985406,36.50003097
loc_0137,yrdb118,us_80665,111.8875773,39.19226075
loc_0138,yrdb119,ds_12,101.1333333,30.06666667
loc_0139,yrdb120,ds_11,114.1790444,34.76596667
loc_0140,yrdb121,ds_13,116.0333333,36.03333333
loc_0141,yrdb122,ds_14,115.5953833,34.80126667
loc_0142,yrdb123,ds_364,,
loc_0143,yrdb123,ds_365,,
loc_0144,yrdb124,us_80394,103.6341891,36.6142223
loc_0145,yrdb125,us_40134,111.7447396,37.10876852
loc_0146,yrdb125,us_40260,111.7415265,37.09652229
loc_0147,yrdb127,ds_1,119.8062778,34.12104167
loc_0148,yrdb128,ds_1076,116.5148111,31.73716667
loc_0149,yrdb129,us_80878,113.53937,38.22322417
loc_0150,yrdb130,ds_366,115.8651889,34.39795556
loc_0151,yrdb131,ds_1711,,
loc_0152,yrdb133,ds_1046,114.8157389,34.82333056
loc_0153,yrdb133,ds_60,114.8353056,34.92798333
loc_0154,yrdb134,ds_1438,103.8319417,36.06153611
loc_0155,yrdb135,ds_313,115.2499167,35.57757778
loc_0156,yrdb136,us_20138,108.8393304,34.40099716
loc_0157,yrdb136,us_20081,108.8626846,34.37503717
loc_0158,yrdb138,us_70428,103.8294458,36.05266732
loc_0159,yrdb139,ds_28,114.8157167,34.82325833
loc_0160,yrdb139,ds_51,114.9166667,34.83333333
loc_0161,yrdb139,ds_320,114.8002833,34.93878333
loc_0162,yrdb139,ds_608,114.7816944,34.92653889
loc_0163,yrdb139,ds_739,114.7317583,34.877175
loc_0164,yrdb139,ds_832,114.8089972,34.89215
loc_0165,yrdb139,ds_1044,114.8157389,34.82333056
loc_0166,yrdb139,ds_1045,,
loc_0167,yrdb139,ds_175,114.9166667,34.83333333
loc_0168,yrdb141,us_10122,107.3720772,35.22108789
loc_0169,yrdb142,ds_1374,113.7991556,35.46251667
loc_0170,yrdb143,ds_1577,,
loc_0171,yrdb144,ds_876,109.5873972,35.16666667
loc_0172,yrdb144,ds_1580,,
loc_0173,yrdb145,ds_1579,,
loc_0174,yrdb146,us_40177,112.3375165,34.55324159
loc_0175,yrdb148,us_81112,104.217079,35.13775715
loc_0176,yrdb149,us_70316,109.3430968,34.61195064
loc_0177,yrdb149,us_80212,109.36895,34.67136739
loc_0178,yrdb150,us_80664,111.4399801,39.4785412
loc_0179,yrdb151,ds_1578,,
loc_0180,yrdb152,us_81122,104.5442567,35.49219955
loc_0181,yrdb153,ds_1239,115.3967,35.0056
loc_0182,yrdb154,ds_1237,119.8461139,32.91365556
loc_0183,yrdb155,ds_1526,119.0029889,25.45675833
loc_0184,yrdb156,us_30027,105.7263946,35.09729258
loc_0185,yrdb157,ds_1525,109.0241639,32.68682222
loc_0186,yrdb158,ds_1527,106.1526167,33.32905278
loc_0187,yrdb159,us_80175,109.4425854,34.90645223
loc_0188,yrdb160,us_70017,110.4585093,36.70439251
loc_0189,yrdb160,us_80755,110.4516309,36.69298702
loc_0190,yrdb161,us_80461,107.0349009,38.05282459
loc_0191,yrdb162,ds_1238,116.9153,38.4625
loc_0192,yrdb163,us_10137,111.8074731,37.05282412
loc_0193,yrdb164,us_10054,110.9643682,35.60072234
loc_0194,yrdb164,us_20155,110.9640346,35.59637421
loc_0195,yrdb166,us_10114,105.4707413,34.61367276
loc_0196,yrdb167,ds_1106,112.5817,37.7745
loc_0197,yrdb167,ds_1198,112.0336,37.4365
loc_0198,yrdb167,ds_1481,111.1446,37.5097
loc_0199,yrdb167,ds_1603,,
loc_0200,yrdb168,ds_672,,
loc_0201,yrdb168,ds_801,115.7182639,37.51290556
loc_0202,yrdb168,ds_926,,
loc_0203,yrdb168,ds_1236,115.5734,37.5652
loc_0204,yrdb168,ds_1292,115.8658,37.5166
loc_0205,yrdb168,ds_1410,115.5734,37.5652
loc_0206,yrdb169,us_80742,111.9648276,37.32007752
loc_0207,yrdb171,us_80792,112.2874611,35.99546245
loc_0208,yrdb171,us_70410,112.2977545,35.97451663
loc_0209,yrdb172,us_80506,104.3714792,35.50202996
loc_0210,yrdb173,ds_1482,106.3793333,38.983125
loc_0211,yrdb173,ds_1629,,
loc_0212,yrdb173,ds_1779,,
loc_0213,yrdb174,ds_1096,114.9067,35.9531
loc_0214,yrdb175,ds_162,114.4,35.03333333
loc_0215,yrdb176,us_70273,107.8449992,35.08899086
loc_0216,yrdb176,us_80191,107.8900191,35.15282621
loc_0217,yrdb178,us_80723,110.7606321,37.45185741
loc_0218,yrdb179,ds_960,115.4366028,36.48362778
loc_0219,yrdb180,us_30049,111.7183521,36.86697972
loc_0220,yrdb181,ds_152,111.0333333,34.7
loc_0221,yrdb182,us_80161,109.7909051,35.35823328
loc_0222,yrdb183,us_80993,113.1394862,35.97274178
loc_0223,yrdb184,us_70484,111.1802905,39.3166049
loc_0224,yrdb185,ds_150,115.5666667,34.83333333
loc_0225,yrdb186,us_70179,104.8406026,36.01573375
loc_0226,yrdb187,ds_151,118.2333333,37.43333333
loc_0227,yrdb188,us_80222,108.235868,34.61011274
loc_0228,yrdb189,us_80165,109.6770977,35.19269519
loc_0229,yrdb190,us_80354,102.7118451,36.45642493
loc_0230,yrdb191,us_40220,108.6554299,34.65774176
loc_0231,yrdb192,us_80772,111.8194153,36.9360982
loc_0232,yrdb192,us_70066,111.809913,36.95689693
loc_0233,yrdb193,ds_56,119.4833333,33.25
loc_0234,yrdb193,ds_499,119.1502,33.5016
loc_0235,yrdb193,ds_768,119.0877806,33.47761389
loc_0236,yrdb193,ds_1569,119.0099528,33.61159722
loc_0237,yrdb194,ds_1316,111.398575,39.8458
loc_0238,yrdb195,ds_1443,102.6438,37.9272
loc_0239,yrdb196,ds_349,115.8651889,34.39795556
loc_0240,yrdb197,us_20208,112.4159573,34.61281928
loc_0241,yrdb198,us_80738,111.1559717,37.06106188
loc_0242,yrdb199,ds_1370,106.6335,33.9268
loc_0243,yrdb200,ds_934,107.3957028,34.52241667
loc_0244,yrdb201,ds_1369,107.3957028,34.52241667
loc_0245,yrdb202,ds_39,115.7833333,33.85
loc_0246,yrdb202,ds_935,117.5548,32.87370278
loc_0247,yrdb203,ds_1676,117.3926583,34.22743889
loc_0248,yrdb205,us_20020,110.9215405,34.62362921
loc_0249,yrdb205,us_20072,112.1570749,34.70935189
loc_0250,yrdb205,us_20180,112.1815825,34.6836752
loc_0251,yrdb205,us_30018,112.1799432,34.72659844
loc_0252,yrdb205,us_30064,112.2119928,34.69574795
loc_0253,yrdb205,us_10066,110.9121685,34.60734552
loc_0254,yrdb205,us_40081,112.1806402,34.72568577
loc_0255,yrdb205,us_70490,110.9110474,34.62390087
loc_0256,yrdb207,us_20196,112.7482173,37.60958942
loc_0257,yrdb207,us_10142,112.724923,37.49256736
loc_0258,yrdb208,ds_118,118.8434667,33.59446667
loc_0259,yrdb209,ds_1683,114.0834167,34.54224167
loc_0260,yrdb210,us_30093,112.8687337,34.56742975
loc_0261,yrdb211,ds_356,119.2,33.53333333
loc_0262,yrdb212,ds_358,114.254,34.90794167
loc_0263,yrdb213,ds_354,115.745525,34.56121944
loc_0264,yrdb213,ds_355,115.7242667,34.54866111
loc_0265,yrdb214,ds_350,118.1183583,34.61181667
loc_0266,yrdb215,ds_351,116.1333333,34.78333333
loc_0267,yrdb215,ds_352,115.8333333,34.4
loc_0268,yrdb215,ds_353,,
loc_0269,yrdb216,us_81149,106.5345874,35.18774257
loc_0270,yrdb217,ds_359,117.59375,37.18080833
loc_0271,yrdb218,us_70079,112.375523,35.58731291
loc_0272,yrdb219,ds_357,115.85,34.38333333
loc_0273,yrdb220,us_20075,112.7668269,34.53588795
loc_0274,yrdb221,ds_443,113.9144,34.9341
loc_0275,yrdb222,ds_334,,
loc_0276,yrdb223,us_70421,112.8262294,39.62775848
loc_0277,yrdb224,ds_1442,105.8400361,32.43771389
loc_0278,yrdb225,ds_1620,,
loc_0279,yrdb226,us_80546,106.4177651,34.24697215
loc_0280,yrdb227,us_70108,112.1007981,39.27589761
loc_0281,yrdb228,ds_602,118.4708694,37.72617778
loc_0282,yrdb228,ds_151,118.2333333,37.43333333
loc_0283,yrdb228,ds_245,118.3833333,37.75
loc_0284,yrdb228,ds_283,118.3166611,37.58505556
loc_0285,yrdb228,ds_383,118.4442139,37.71783611
loc_0286,yrdb228,ds_402,118.3895333,37.66311111
loc_0287,yrdb228,ds_646,118.3728167,37.63539167
loc_0288,yrdb228,ds_827,118.2344139,37.47593056
loc_0289,yrdb228,ds_1053,118.24925,37.48943056
loc_0290,yrdb230,us_20107,108.9795309,39.2881866
loc_0291,yrdb231,us_70024,110.5191104,38.02145561
loc_0292,yrdb231,us_80712,110.5197929,37.98579316
loc_0293,yrdb232,us_20214,112.4930856,34.48779677
loc_0294,yrdb232,us_40175,112.5027755,34.52689596
loc_0295,yrdb233,us_30109,113.2723092,39.5848066
loc_0296,yrdb234,us_20113,109.6698823,40.60931599
loc_0297,yrdb235,us_80834,114.3709466,39.72165237
loc_0298,yrdb236,us_20160,110.8254669,34.56358322
loc_0299,yrdb237,us_80640,112.9145516,40.27830879
loc_0300,yrdb237,us_70121,112.9209325,40.28995539
loc_0301,yrdb239,us_80121,109.3770599,36.3342183
loc_0302,yrdb240,ds_882,117.0295417,38.20540556
loc_0303,yrdb240,ds_1674,119.5514306,38.59185278
loc_0304,yrdb241,us_80595,109.9972175,40.58219775
loc_0305,yrdb241,us_81041,110.0108499,40.59299007
loc_0306,yrdb242,us_20108,108.1630239,37.79884976
loc_0307,yrdb243,us_80761,111.2195896,36.32718423
loc_0308,yrdb244,us_80500,106.3591385,35.49785859
loc_0309,yrdb245,us_40089,112.7937751,34.82508068
loc_0310,yrdb246,ds_426,115.212075,36.31441389
loc_0311,yrdb246,ds_1092,115.1995306,36.07261667
loc_0312,yrdb246,ds_1325,116.4010444,39.90313333
loc_0313,yrdb246,ds_1423,116.4010444,39.90313333
loc_0314,yrdb246,ds_1420,116.4010444,39.90313333
loc_0315,yrdb246,ds_1616,,
loc_0316,yrdb246,ds_1764,,
loc_0317,yrdb246,ds_1344,116.4010444,39.90313333
loc_0318,yrdb246,ds_1567,116.4010444,39.90313333
loc_0319,yrdb248,us_70431,104.6473352,36.53019282
loc_0320,yrdb249,us_30041,107.5746958,34.32594344
loc_0321,yrdb251,us_10092,110.6796424,36.1519832
loc_0322,yrdb252,ds_33,118.8166667,32.15
loc_0323,yrdb254,ds_34,117.65,34.15
loc_0324,yrdb255,us_80309,101.4650623,36.96150118
loc_0325,yrdb256,us_80853,113.4802963,39.47626913
loc_0326,yrdb256,us_70141,113.4461417,39.51426179
loc_0327,yrdb257,us_80952,112.5714695,35.44335016
loc_0328,yrdb258,ds_878,118.9879528,36.52656111
loc_0329,yrdb258,ds_1324,119.05,36.5393
loc_0330,yrdb259,ds_879,,
loc_0331,yrdb260,ds_1673,,
loc_0332,yrdb261,us_80933,110.9378533,35.14002921
loc_0333,yrdb262,us_80983,113.064508,36.11133787
loc_0334,yrdb263,us_80144,109.4598289,35.58929687
loc_0335,yrdb264,us_70400,112.749582,38.74979263
loc_0336,yrdb265,ds_36,112.4020111,37.65024444
loc_0337,yrdb266,ds_1730,117.8511361,34.03123333
loc_0338,yrdb267,us_80016,112.1859765,34.86542017
loc_0339,yrdb268,ds_526,,
loc_0340,yrdb269,ds_521,,
loc_0341,yrdb270,ds_522,116.5902806,34.69517222
loc_0342,yrdb271,ds_523,,
loc_0343,yrdb272,us_30073,112.5438761,34.72192807
loc_0344,yrdb273,ds_518,,
loc_0345,yrdb274,ds_515,,
loc_0346,yrdb275,ds_516,117.0863944,34.27556389
loc_0347,yrdb276,us_81121,104.5965142,35.64670011
loc_0348,yrdb277,ds_524,,
loc_0349,yrdb277,ds_525,,
loc_0350,yrdb278,ds_517,,
loc_0351,yrdb279,us_80390,103.9783273,36.15015705
loc_0352,yrdb280,us_81166,107.4189895,35.18121038
loc_0353,yrdb281,us_70098,112.7290292,38.42748273
loc_0354,yrdb282,ds_519,117.1774667,36.92751389
loc_0355,yrdb282,ds_520,117.1979972,36.93551667
loc_0356,yrdb283,us_80081,110.1259738,37.01246293
loc_0357,yrdb284,us_81037,111.199141,39.4853574
loc_0358,yrdb285,ds_1123,117.9366,37.2204
loc_0359,yrdb286,us_30100,112.2619019,36.35385324
loc_0360,yrdb286,us_20200,112.2306047,36.28859908
loc_0361,yrdb288,us_80320,101.3855228,36.28740335
loc_0362,yrdb289,us_40074,111.8788629,34.69694508
loc_0363,yrdb290,us_30066,112.4725607,34.69154525
loc_0364,yrdb291,ds_1479,118.7911361,32.06041111
loc_0365,yrdb292,us_80252,109.6437183,34.23229979
loc_0366,yrdb293,ds_1204,116.4705139,34.56262222
loc_0367,yrdb295,us_80501,106.6678201,35.10157815
loc_0368,yrdb296,us_81150,106.7345293,35.11276436
loc_0369,yrdb297,us_80512,104.9971852,35.37480309
loc_0370,yrdb298,ds_249,116.7471083,34.64415278
loc_0371,yrdb298,ds_1698,110.0758222,34.53389722
loc_0372,yrdb299,ds_991,110.0808889,34.56923333
