ev_t_typ_id,Event ID,EventType Chinese
318,236,evtype_1
319,237,evtype_1
320,238,evtype_1
321,239,evtype_1
322,240,evtype_1
323,241,evtype_4
324,241,evtype_1
325,242,evtype_1
326,243,evtype_4
327,243,evtype_1
328,244,evtype_4
329,245,evtype_4
330,245,evtype_1
331,246,evtype_1
332,247,evtype_5
333,248,evtype_1
334,249,evtype_1
335,250,evtype_4
336,250,evtype_1
337,251,evtype_1
338,252,evtype_4
339,252,evtype_1
340,253,evtype_1
341,254,evtype_4
342,255,evtype_4
343,255,evtype_1
344,256,evtype_4
345,256,evtype_1
346,257,evtype_1
347,258,evtype_17
348,259,evtype_17
349,260,evtype_1
350,261,evtype_4
351,261,evtype_1
352,262,evtype_4
353,262,evtype_1
354,263,evtype_19
355,264,evtype_16
356,264,evtype_19
357,264,evtype_15
358,265,evtype_1
359,266,evtype_1
360,267,evtype_1
361,268,evtype_1
362,269,evtype_1
363,270,evtype_4
364,270,evtype_1
365,271,evtype_1
366,272,evtype_1
367,273,evtype_1
368,274,evtype_3
369,275,evtype_4
370,275,evtype_1
371,276,evtype_1
372,277,evtype_1
373,278,evtype_15
374,279,evtype_1
375,280,evtype_1
376,281,evtype_1
377,282,evtype_1
378,283,evtype_16
379,283,evtype_15
380,283,evtype_19
381,284,evtype_7
382,285,evtype_4
383,286,evtype_1
384,287,evtype_11
385,287,evtype_15
386,288,evtype_11
387,288,evtype_15
388,289,evtype_1
389,290,evtype_1
390,291,evtype_1
391,292,evtype_11
392,293,evtype_1
393,294,evtype_1
394,295,evtype_1
395,296,evtype_1
396,297,evtype_1
397,298,evtype_1
398,299,evtype_1
399,300,evtype_7
400,301,evtype_1
401,302,evtype_4
402,302,evtype_1
403,303,evtype_1
404,304,evtype_1
405,305,evtype_16
406,305,evtype_19
407,305,evtype_15
408,306,evtype_1
409,307,evtype_1
410,308,evtype_16
411,308,evtype_19
412,308,evtype_15
413,309,evtype_1
414,310,evtype_7
415,311,evtype_16
416,311,evtype_19
417,311,evtype_15
418,312,evtype_1
419,313,evtype_4
420,314,evtype_7
421,315,evtype_4
422,315,evtype_1
423,316,evtype_15
424,317,evtype_7
425,318,evtype_7
426,319,evtype_1
427,320,evtype_1
428,321,evtype_1
429,322,evtype_1
430,323,evtype_1
431,324,evtype_2
432,325,evtype_7
433,326,evtype_1
434,327,evtype_7
435,328,evtype_7
436,329,evtype_1
437,330,evtype_1
438,331,evtype_1
439,332,evtype_7
440,333,evtype_7
441,334,evtype_1
442,335,evtype_7
443,336,evtype_1
444,337,evtype_7
445,338,evtype_1
446,338,evtype_4
447,339,evtype_1
448,340,evtype_7
449,341,evtype_1
450,342,evtype_1
451,343,evtype_1
452,344,evtype_1
453,345,evtype_1
454,346,evtype_1
455,347,evtype_1
456,348,evtype_1
457,349,evtype_7
458,350,evtype_1
459,351,evtype_1
460,351,evtype_4
461,352,evtype_1
462,352,evtype_4
463,353,evtype_1
464,354,evtype_1
465,355,evtype_1
466,356,evtype_1
467,357,evtype_1
468,358,evtype_1
469,359,evtype_1
470,360,evtype_1
471,361,evtype_1
472,362,evtype_1
473,363,evtype_1
474,363,evtype_4
475,364,evtype_1
476,365,evtype_1
477,366,evtype_1
478,366,evtype_4
479,367,evtype_4
480,368,evtype_1
481,368,evtype_4
482,369,evtype_1
483,370,evtype_1
484,371,evtype_1
485,372,evtype_1
486,373,evtype_1
487,374,evtype_1
488,375,evtype_1
489,376,evtype_1
490,377,evtype_1
491,377,evtype_4
492,378,evtype_1
493,379,evtype_15
494,380,evtype_1
495,381,evtype_1
496,381,evtype_4
497,382,evtype_1
498,383,evtype_1
499,384,evtype_1
500,385,evtype_2
501,385,evtype_17
502,385,evtype_18
503,386,evtype_1
504,386,evtype_4
505,387,evtype_1
506,388,evtype_1
507,388,evtype_4
508,389,evtype_2
509,390,evtype_1
510,391,evtype_1
511,392,evtype_1
512,393,evtype_1
513,393,evtype_4
514,394,evtype_1
515,395,evtype_1
516,396,evtype_1
517,397,evtype_1
518,398,evtype_7
519,399,evtype_1
520,400,evtype_19
521,401,evtype_1
522,402,evtype_1
523,402,evtype_4
524,403,evtype_1
525,404,evtype_1
526,405,evtype_1
527,406,evtype_1
528,406,evtype_4
529,407,evtype_1
530,408,evtype_8
531,409,evtype_5
532,410,evtype_7
533,411,evtype_8
534,412,evtype_4
535,413,evtype_1
536,413,evtype_4
537,414,evtype_1
538,414,evtype_4
539,415,evtype_7
540,416,evtype_1
541,416,evtype_4
542,417,evtype_1
543,418,evtype_1
544,419,evtype_4
545,420,evtype_4
546,421,evtype_1
547,421,evtype_4
548,422,evtype_1
549,422,evtype_4
550,423,evtype_1
551,424,evtype_4
552,424,evtype_10
553,425,evtype_7
554,426,evtype_4
555,427,evtype_15
556,428,evtype_1
557,428,evtype_4
558,429,evtype_1
559,429,evtype_4
560,430,evtype_16
561,430,evtype_15
562,430,evtype_19
563,431,evtype_1
564,432,evtype_4
565,433,evtype_1
566,433,evtype_4
567,434,evtype_11
568,435,evtype_7
569,436,evtype_1
570,437,evtype_1
571,438,evtype_1
572,439,evtype_1
573,440,evtype_1
574,441,evtype_1
575,441,evtype_17
576,441,evtype_19
577,442,evtype_4
578,443,evtype_1
579,444,evtype_4
580,445,evtype_1
581,446,evtype_17
582,447,evtype_4
583,447,evtype_1
584,448,evtype_20
585,449,evtype_7
586,450,evtype_7
587,451,evtype_1
588,452,evtype_16
589,452,evtype_19
590,452,evtype_15
591,453,evtype_4
592,453,evtype_1
593,454,evtype_1
594,455,evtype_15
595,456,evtype_1
596,456,evtype_2
597,457,evtype_1
598,458,evtype_1
599,459,evtype_1
600,460,evtype_1
601,460,evtype_2
602,461,evtype_1
603,462,evtype_4
604,462,evtype_1
605,463,evtype_2
606,464,evtype_4
607,464,evtype_1
608,465,evtype_1
609,465,evtype_2
610,466,evtype_4
611,467,evtype_4
612,468,evtype_7
613,469,evtype_1
614,470,evtype_1
615,471,evtype_1
616,472,evtype_1
617,473,evtype_1
618,474,evtype_16
619,475,evtype_1
620,476,evtype_1
621,477,evtype_1
622,478,evtype_1
623,479,evtype_4
624,479,evtype_1
625,480,evtype_1
626,481,evtype_8
627,482,evtype_1
628,482,evtype_5
629,483,evtype_12
630,484,evtype_5
631,485,evtype_5
632,485,evtype_18
633,486,evtype_12
634,487,evtype_4
635,487,evtype_1
636,488,evtype_17
637,488,evtype_6
638,489,evtype_4
639,489,evtype_1
640,490,evtype_17
641,491,evtype_1
