name_id,name,ch_pinyin,yrdb_id,attestation
nm_0110,僧念堡,sengnian bao,yrdb92,us_80782
nm_0111,僧樓鎮,senglou zhen,yrdb93,us_80899
nm_0112,允街,yunjie,yrdb94,us_40046
nm_0113,元城,yuan cheng,yrdb95,ds_1287
nm_0114,元城子,yuanchengzi,yrdb96,us_80567
nm_0115,元里,yuanli,yrdb97,us_10084
nm_0116,先俞,xianyu,yrdb98,us_10148
nm_0117,光化,guanghua,yrdb99,ds_1376
nm_0118,光狼城,guanglang cheng,yrdb100,us_10028
nm_0119,光祿城,guanglu cheng,yrdb101,us_20109
nm_0120,光祿村,guanglu cun,yrdb102,ds_183
nm_0121,兔兒阪鎮,tuerban zhen,yrdb103,us_80711
nm_0122,兔源河,tuyuan he,yrdb104,ds_1740
nm_0123,兗,yan,yrdb105,ds_1255
nm_0124,兗,yan,yrdb105, ds_1538
nm_0125,黨原,dangyuan,yrdb107,us_80556
nm_0126,黨家腰崄,dangjiayaoxian,yrdb108,us_80572
nm_0127,黨山鋪,dangshan pu,yrdb109,us_81097
nm_0128,八十家子,bashijiazi,yrdb110,us_81063
nm_0129,八堡,ba bao,yrdb111,ds_10
nm_0130,八政堡,bazheng bao,yrdb112,us_80936
nm_0131,八柳樹,baliushu,yrdb113,ds_15
nm_0132,八柳樹,baliushu,yrdb113, ds_16
nm_0133,八柳樹,baliushu,yrdb113, ds_17
nm_0134,八柳樹堡,baliushu bao,yrdb115,us_70048
nm_0135,八白室,babaishi,yrdb116,us_81040
nm_0136,八營,ba ying,yrdb117,us_80481
nm_0137,八角,bajiao,yrdb118,us_80665
nm_0138,八角樓,bajiaolou,yrdb119,ds_12
nm_0139,八角河口,bajiaohe kou,yrdb120,ds_11
nm_0140,八里廟,bali miao,yrdb121,ds_13
nm_0141,八里灣,bali wan,yrdb122,ds_14
nm_0142,六堡,liu bao,yrdb123,ds_364
nm_0143,六堡,liu bao,yrdb123, ds_365
nm_0144,六墩,liudun,yrdb124,us_80394
nm_0145,六壁,liubi,yrdb125,us_40134
nm_0146,六壁,liubi,yrdb125, us_40260
nm_0147,六套,liutao,yrdb127,ds_1
nm_0148,六安縣,luan xian,yrdb128,ds_1076
nm_0149,六嶺關,liuling guan,yrdb129,us_80878
nm_0150,六明鎮,liuming zhen,yrdb130,ds_366
nm_0151,六輔渠,liufu qu,yrdb131,ds_1711
nm_0152,蘭儀縣,lanyi xian,yrdb133,ds_1046
nm_0153,蘭儀縣,lanyi xian,yrdb133, ds_60
nm_0154,蘭州,lan zhou,yrdb134,ds_1438
nm_0155,蘭莊,lan zhuang,yrdb135,ds_313
nm_0156,蘭池,lanchi,yrdb136,us_20138
nm_0157,蘭池,lanchi,yrdb136, us_20081
nm_0158,蘭泉站,lanquan zhan,yrdb138,us_70428
nm_0159,蘭陽縣,lanyang xian,yrdb139,ds_28
nm_0160,蘭陽縣,lanyang xian,yrdb139, ds_51
nm_0161,蘭陽縣,lanyang xian,yrdb139, ds_320
nm_0162,蘭陽縣,lanyang xian,yrdb139, ds_608
nm_0163,蘭陽縣,lanyang xian,yrdb139, ds_739
nm_0164,蘭陽縣,lanyang xian,yrdb139, ds_832
nm_0165,蘭陽縣,lanyang xian,yrdb139, ds_1044
nm_0166,蘭陽縣,lanyang xian,yrdb139, ds_1045
nm_0167,蘭陽縣,lanyang xian,yrdb139, ds_175
nm_0168,共,gong,yrdb141,us_10122
nm_0169,共城,gong cheng,yrdb142,ds_1374
nm_0170,關東,guandong,yrdb143,ds_1577
nm_0171,關中,guanzhong,yrdb144,ds_876
nm_0172,關中,guanzhong,yrdb144, ds_1580
nm_0173,關內,guannei,yrdb145,ds_1579
nm_0174,關城,guan cheng,yrdb146,us_40177
nm_0175,關山,guan shan,yrdb148,us_81112
nm_0176,關山鎮,guanshan zhen,yrdb149,us_70316
nm_0177,關山鎮,guanshan zhen,yrdb149, us_80212
nm_0178,關河隘口,guanheai kou,yrdb150,us_80664
nm_0179,關輔,guanfu,yrdb151,ds_1578
nm_0180,關門口,guanmen kou,yrdb152,us_81122
nm_0181,興仁,xingren,yrdb153,ds_1239
nm_0182,興化,xinghua,yrdb154,ds_1237
nm_0183,興化軍,xinghua jun,yrdb155,ds_1526
nm_0184,興國,xing guo,yrdb156,us_30027
nm_0185,興安府,xingan fu,yrdb157,ds_1525
nm_0186,興州,xing zhou,yrdb158,ds_1527
nm_0187,興市鎮,xingshi zhen,yrdb159,us_80175
nm_0188,興德關,xingde guan,yrdb160,us_70017
nm_0189,興德關,xingde guan,yrdb160, us_80755
nm_0190,興武營堡,xingwuying bao,yrdb161,us_80461
nm_0191,興濟,xingji,yrdb162,ds_1238
nm_0192,茲氏,zishi,yrdb163,us_10137
nm_0193,冀,ji,yrdb164,us_10054
nm_0194,冀,ji,yrdb164, us_20155
nm_0195,冀縣,ji xian,yrdb166,us_10114
nm_0196,冀寧路,jining lu,yrdb167,ds_1106
