,yrdb_id,place,event
164,yrdb41,ds_1267,ev_1795
165,yrdb41,ds_1267,ev_2022
166,yrdb41,ds_1267,ev_2141
167,yrdb41,ds_1267,ev_2261
168,yrdb41,ds_1267,ev_2271
169,yrdb41,ds_1267,ev_2275
170,yrdb41,ds_1267,ev_2281
171,yrdb41,ds_1267,ev_2283
172,yrdb41,ds_1267,ev_2303
173,yrdb41,ds_1267,ev_2312
174,yrdb41,ds_1267,ev_2322
175,yrdb41,ds_1267,ev_2349
176,yrdb41,ds_1267,ev_2357
177,yrdb41,ds_1267,ev_2433
178,yrdb41,ds_1267,ev_2442
179,yrdb41,ds_1267,ev_2448
180,yrdb41,ds_1267,ev_2449
181,yrdb41,ds_1267,ev_2476
182,yrdb41,ds_1267,ev_2499
183,yrdb41,ds_1267,ev_2576
184,yrdb41,ds_1267,ev_2646
185,yrdb41,ds_1267,ev_2651
186,yrdb41,ds_1267,ev_2658
187,yrdb41,ds_1267,ev_2885
188,yrdb41,ds_1267,ev_2903
189,yrdb41,ds_1267,ev_2907
190,yrdb41,ds_1267,ev_2921
191,yrdb41,ds_1267,ev_2922
192,yrdb41,ds_1267,ev_2924
193,yrdb41,ds_1267,ev_2930
194,yrdb41,ds_1267,ev_2934
195,yrdb41,ds_1267,ev_2941
196,yrdb41,ds_1267,ev_2949
197,yrdb41,ds_1267,ev_2961
198,yrdb41,ds_1267,ev_3062
199,yrdb41,ds_1267,ev_3073
200,yrdb41,ds_1267,ev_3255
201,yrdb41,ds_1267,ev_3263
202,yrdb41,ds_1267,ev_3274
203,yrdb41,ds_1267,ev_3275
204,yrdb41,ds_1267,ev_3276
205,yrdb41,ds_1267,ev_3279
206,yrdb41,ds_1267,ev_3285
207,yrdb41,ds_1267,ev_3286
208,yrdb41,ds_1267,ev_3292
209,yrdb41,ds_1267,ev_3296
210,yrdb41,ds_1267,ev_1487
211,yrdb41,ds_1267,ev_1838
212,yrdb41,ds_1267,ev_2264
213,yrdb41,ds_1267,ev_2617
214,yrdb41,ds_1267,ev_2679
215,yrdb41,ds_1267,ev_2921
216,yrdb2252,ds_1267,ev_1419
217,yrdb2252,ds_1267,ev_1581
218,yrdb2252,ds_1267,ev_1635
219,yrdb2252,ds_1267,ev_1749
220,yrdb2252,ds_1267,ev_1751
221,yrdb2252,ds_1267,ev_1756
222,yrdb2252,ds_1267,ev_1761
223,yrdb2252,ds_1267,ev_1795
224,yrdb2252,ds_1267,ev_2022
225,yrdb2252,ds_1267,ev_2141
226,yrdb2252,ds_1267,ev_2261
227,yrdb2252,ds_1267,ev_2271
228,yrdb2252,ds_1267,ev_2275
229,yrdb2252,ds_1267,ev_2281
230,yrdb2252,ds_1267,ev_2283
231,yrdb2252,ds_1267,ev_2303
232,yrdb2252,ds_1267,ev_2312
233,yrdb2252,ds_1267,ev_2322
234,yrdb2252,ds_1267,ev_2349
235,yrdb2252,ds_1267,ev_2357
236,yrdb2252,ds_1267,ev_2433
237,yrdb2252,ds_1267,ev_2442
238,yrdb2252,ds_1267,ev_2448
239,yrdb2252,ds_1267,ev_2449
240,yrdb2252,ds_1267,ev_2476
241,yrdb2252,ds_1267,ev_2499
242,yrdb2252,ds_1267,ev_2576
243,yrdb2252,ds_1267,ev_2646
244,yrdb2252,ds_1267,ev_2651
245,yrdb2252,ds_1267,ev_2658
246,yrdb2252,ds_1267,ev_2885
247,yrdb2252,ds_1267,ev_2903
248,yrdb2252,ds_1267,ev_2907
249,yrdb2252,ds_1267,ev_2921
250,yrdb2252,ds_1267,ev_2922
251,yrdb2252,ds_1267,ev_2924
252,yrdb2252,ds_1267,ev_2930
253,yrdb2252,ds_1267,ev_2934
254,yrdb2252,ds_1267,ev_2941
255,yrdb2252,ds_1267,ev_2949
256,yrdb2252,ds_1267,ev_2961
257,yrdb2252,ds_1267,ev_3062
258,yrdb2252,ds_1267,ev_3073
259,yrdb2252,ds_1267,ev_3255
260,yrdb2252,ds_1267,ev_3263
261,yrdb2252,ds_1267,ev_3274
262,yrdb2252,ds_1267,ev_3275
263,yrdb2252,ds_1267,ev_3276
264,yrdb2252,ds_1267,ev_3279
265,yrdb2252,ds_1267,ev_3285
266,yrdb2252,ds_1267,ev_3286
267,yrdb2252,ds_1267,ev_3292
268,yrdb2252,ds_1267,ev_3296
269,yrdb2252,ds_1267,ev_1487
270,yrdb2252,ds_1267,ev_1838
271,yrdb2252,ds_1267,ev_2264
272,yrdb2252,ds_1267,ev_2617
273,yrdb2252,ds_1267,ev_2679
274,yrdb2252,ds_1267,ev_2921
275,yrdb41,ds_709,ev_1792
276,yrdb41,ds_709,ev_1759
277,yrdb41,ds_709,ev_2219
278,yrdb41,ds_709,ev_2217
279,yrdb41,ds_709,ev_2221
280,yrdb41,ds_709,ev_2224
281,yrdb41,ds_709,ev_2225
282,yrdb41,ds_709,ev_1756
283,yrdb904,ds_709,ev_1792
284,yrdb904,ds_709,ev_1759
285,yrdb904,ds_709,ev_2219
286,yrdb904,ds_709,ev_2217
287,yrdb904,ds_709,ev_2221
288,yrdb904,ds_709,ev_2224
289,yrdb904,ds_709,ev_2225
290,yrdb904,ds_709,ev_1756
291,yrdb929,ds_709,ev_1792
292,yrdb929,ds_709,ev_1759
293,yrdb929,ds_709,ev_2219
294,yrdb929,ds_709,ev_2217
295,yrdb929,ds_709,ev_2221
296,yrdb929,ds_709,ev_2224
297,yrdb929,ds_709,ev_2225
298,yrdb929,ds_709,ev_1756
299,yrdb43,ds_1138,ev_1534
300,yrdb43,ds_1138,ev_1126
301,yrdb43,ds_1138,ev_1499
302,yrdb1856,ds_1138,ev_1534
303,yrdb1856,ds_1138,ev_1126
304,yrdb1856,ds_1138,ev_1499
305,yrdb44,ds_484,ev_966
306,yrdb47,ds_1752,ev_1743
307,yrdb48,ds_1753,ev_24
308,yrdb53,ds_675,ev_2695
309,yrdb54,ds_852,ev_3365
310,yrdb55,ds_1399,ev_374
311,yrdb56,ds_1702,ev_187
312,yrdb57,ds_1572,ev_1349
313,yrdb57,ds_1572,ev_1607
314,yrdb1698,ds_1572,ev_1349
315,yrdb1698,ds_1572,ev_1607
316,yrdb60,ds_206,ev_2604
317,yrdb61,ds_205,ev_2073
318,yrdb62,ds_207,ev_3563
319,yrdb62,ds_207,ev_3570
320,yrdb62,ds_207,ev_3566
321,yrdb2391,ds_207,ev_3563
322,yrdb2391,ds_207,ev_3570
323,yrdb2391,ds_207,ev_3566
324,yrdb69,ds_231,ev_1850
325,yrdb306,ds_231,ev_1850
326,yrdb929,ds_231,ev_1850
327,yrdb69,ds_232,ev_3455
328,yrdb69,ds_232,ev_3456
329,yrdb69,ds_232,ev_3457
330,yrdb69,ds_232,ev_3464
331,yrdb69,ds_232,ev_1847
332,yrdb2943,ds_232,ev_3455
333,yrdb2943,ds_232,ev_3456
334,yrdb2943,ds_232,ev_3457
335,yrdb2943,ds_232,ev_3464
336,yrdb2943,ds_232,ev_1847
337,yrdb70,ds_233,ev_3271
338,yrdb3119,ds_233,ev_3271
339,yrdb71,ds_234,ev_1763
340,yrdb76,ds_1322,ev_791
341,yrdb80,ds_1323,ev_924
342,yrdb81,ds_1236,ev_1100
343,yrdb81,ds_1236,ev_123
344,yrdb81,ds_1236,ev_155
345,yrdb81,ds_1236,ev_1072
346,yrdb168,ds_1236,ev_1100
347,yrdb168,ds_1236,ev_123
348,yrdb168,ds_1236,ev_155
349,yrdb168,ds_1236,ev_1072
350,yrdb82,ds_1240,ev_1378
351,yrdb84,ds_1257,ev_1974
352,yrdb84,ds_1257,ev_2011
353,yrdb86,ds_449,ev_2304
354,yrdb90,ds_160,ev_2457
355,yrdb493,ds_160,ev_2457
356,yrdb91,ds_1687,ev_2890
357,yrdb95,ds_1287,ev_858
358,yrdb95,ds_1287,ev_987
359,yrdb95,ds_1287,ev_992
360,yrdb95,ds_1287,ev_985
361,yrdb606,ds_1287,ev_858
362,yrdb606,ds_1287,ev_987
363,yrdb606,ds_1287,ev_992
364,yrdb606,ds_1287,ev_985
365,yrdb99,ds_1376,ev_286
366,yrdb99,ds_1376,ev_289
367,yrdb99,ds_1376,ev_290
368,yrdb99,ds_1376,ev_907
369,yrdb102,ds_183,ev_1205
370,yrdb104,ds_1740,ev_1091
371,yrdb104,ds_1740,ev_1098
372,yrdb105,ds_1255,ev_185
373,yrdb105,ds_1255,ev_186
374,yrdb105,ds_1255,ev_271
375,yrdb105,ds_1255,ev_273
376,yrdb105,ds_1538,ev_213
377,yrdb105,ds_1538,ev_257
378,yrdb105,ds_1538,ev_260
379,yrdb105,ds_1538,ev_266
380,yrdb105,ds_1538,ev_267
381,yrdb105,ds_1538,ev_281
